PMID,TI,JT
24670527,Occurrence of etravirine/rilpivirine-specific resistance mutations selected by efavirenz and nevirapine in Kenyan patients with non-B HIV-1 subtypes failing antiretroviral therapy.,"AIDS (London, England)"
24655116,Early infant diagnosis of HIV and fast initiation of anti-retroviral therapy in a rural African setting: how well are we doing?,Paediatrics and international child health
24648320,"Patients who return to care after tracking remain at high risk of attrition: experience from a large HIV clinic, Uganda.",International journal of STD & AIDS
24646492,Linking women who test HIV-positive in pregnancy-related services to HIV care and treatment services in Kenya: a mixed methods prospective cohort study.,PloS one
24641299,Factors associated with pruritic papular eruption of human immunodeficiency virus infection in the antiretroviral therapy era.,The British journal of dermatology
24633208,Phenotypic and genotypic analyses to guide selection of reverse transcriptase inhibitors in second-line HIV therapy following extended virological failure in Uganda.,The Journal of antimicrobial chemotherapy
24628272,Antibacterial resistance in sub-Saharan Africa: an underestimated emergency.,Annals of the New York Academy of Sciences
24608875,"Treatment outcomes of new tuberculosis patients hospitalized in Kampala, Uganda: a prospective cohort study.",PloS one
24606875,"Implementing antiretroviral resistance testing in a primary health care HIV treatment programme in rural KwaZulu-Natal, South Africa: early experiences, achievements and challenges.",BMC health services research
24586310,"The association between self-reported stigma and loss-to-follow up in treatment eligible HIV positive adults in rural Kwazulu-Natal, South Africa.",PloS one
24563115,Impact of geographic and transportation-related barriers on HIV outcomes in sub-Saharan Africa: a systematic review.,AIDS and behavior
24560541,"Recombinant adenovirus type 5 HIV gag/pol/nef vaccine in South Africa: unblinded, long-term follow-up of the phase 2b HVTN 503/Phambili study.",The Lancet. Infectious diseases
24558389,Challenges and opportunities for implementing integrated mental health care: a district level situation analysis from five low- and middle-income countries.,PloS one
24553200,"Follow-up of infants diagnosed with HIV - Early Infant Diagnosis Program, Francistown, Botswana, 2005-2012.",MMWR. Morbidity and mortality weekly report
24552395,cART prescription trends in a prospective HIV cohort in rural Tanzania from 2007 to 2011.,BMC infectious diseases
24521425,Sex differences in responses to antiretroviral treatment in South African HIV-infected children on ritonavir-boosted lopinavir- and nevirapine-based treatment.,BMC pediatrics
24517083,Treatment retention and care transitions during and after the scale-up of HIV care and treatment in Northern Tanzania.,AIDS care
24513015,Association between nutritional status and the immune response in HIV + patients under HAART: protocol for a systematic review.,Systematic reviews
24504151,"Southern African Treatment Resistance Network (SATuRN) RegaDB HIV drug resistance and clinical management database: supporting patient management, surveillance and research in southern Africa.",Database : the journal of biological databases and curation
24473074,Earlier menarche is associated with a higher prevalence of Herpes simplex type-2 (HSV-2) in young women in rural Malawi.,eLife
24468999,Retention in care under universal antiretroviral therapy for HIV-infected pregnant and breastfeeding women ('Option B+') in Malawi.,"AIDS (London, England)"
24468949,How do different eligibility guidelines for antiretroviral therapy affect the cost-effectiveness of routine viral load testing in sub-Saharan Africa?,"AIDS (London, England)"
24468946,Dropout and re-enrollment: implications for epidemiological projections of treatment programs.,"AIDS (London, England)"
24468945,Modeling the impact of early antiretroviral therapy for adults coinfected with HIV and hepatitis B or C in South Africa.,"AIDS (London, England)"
24464843,Treatment of Kaposi sarcoma in children with HIV-1 infection.,The Cochrane database of systematic reviews
24433983,The vulnerability of men to virologic failure during antiretroviral therapy in a public routine clinic in Burkina Faso.,Journal of the International AIDS Society
24429305,Improved survival in multidrug-resistant tuberculosis patients receiving integrated tuberculosis and antiretroviral treatment in the SAPiT Trial.,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease
24408038,Choosing profile double-sampling designs for survival estimation with application to President's Emergency Plan for AIDS Relief evaluation.,Statistics in medicine
24391780,"Comparison of methods for correction of mortality estimates for loss to follow-up after ART initiation: a case of the Infectious Diseases Institute, Uganda.",PloS one
24386998,"Effectiveness of prevention of mother-to-child HIV transmission programmes in Kilimanjaro region, northern Tanzania.",Tropical medicine & international health : TM & IH
24386229,"Bacteremia as a cause of fever in ambulatory, HIV-infected Mozambican adults: results and policy implications from a prospective observational study.",PloS one
24386160,How much demand for New HIV prevention technologies can we really expect? Results from a discrete choice experiment in South Africa.,PloS one
24378936,Prognosis of children with HIV-1 infection starting antiretroviral therapy in Southern Africa: a collaborative analysis of treatment programs.,The Pediatric infectious disease journal
24378727,Socioeconomic determinants of mortality in HIV: evidence from a clinical cohort in Uganda.,Journal of acquired immune deficiency syndromes (1999)
24373303,"Incidence of serious morbidity in HIV-infected adults on antiretroviral therapy in a West African care centre, 2003-2008.",BMC infectious diseases
24321115,"A pilot cohort study to assess the feasibility of HIV prevention science research among men who have sex with men in Dakar, Senegal.",Journal of the International AIDS Society
26245409,"Compliance of St Joseph's Hospital Roma, Lesotho with the National Tuberculosis Programme of Lesotho, 2007 and 2008.",African journal of primary health care & family medicine
24363808,Temporal trends in the characteristics of children at antiretroviral therapy initiation in southern Africa: the IeDEA-SA Collaboration.,PloS one
24363208,"Treatment outcomes of multidrug-resistant tuberculosis patients in Gauteng, South Africa.",Infection
24339861,The use of pill counts as a facilitator of adherence with antiretroviral therapy in resource limited settings.,PloS one
24326605,Linkage to HIV care and antiretroviral therapy by HIV testing service type in Central Mozambique: a retrospective cohort study.,Journal of acquired immune deficiency syndromes (1999)
24326599,Tracing of patients lost to follow-up and HIV transmission: mathematical modeling study based on 2 large ART programs in Malawi.,Journal of acquired immune deficiency syndromes (1999)
24321091,"Experiences on recruitment and retention of volunteers in the first HIV vaccine trial in Dar es Salam, Tanzania - the phase I/II HIVIS 03 trial.",BMC public health
24309412,The role of polymerase chain reaction in early diagnosis of human immunodeficiency virus infection in infants.,Annals of African medicine
24307741,The survival benefits of antiretroviral therapy in South Africa.,The Journal of infectious diseases
24284954,Strengthening the HIV cascade to ensure an effective future ART response in sub-Saharan Africa.,Transactions of the Royal Society of Tropical Medicine and Hygiene
24280913,"Differences between HIV-Infected men and women in antiretroviral therapy outcomes - six African countries, 2004-2012.",MMWR. Morbidity and mortality weekly report
24267671,Outcomes of antiretroviral treatment programmes in rural Lesotho: health centres and hospitals compared.,Journal of the International AIDS Society
24235929,Personal barriers to antiretroviral therapy adherence: case studies from a rural Uganda prospective clinical cohort.,African health sciences
24217698,Population pharmacokinetic and pharmacogenetic analysis of nevirapine in hypersensitive and tolerant HIV-infected patients from Malawi.,Antimicrobial agents and chemotherapy
24188582,"Genetic analysis and natural polymorphisms in HIV-1 gp41 isolates from Maputo City, Mozambique.",AIDS research and human retroviruses
24088689,"Contraceptive discontinuation and switching among couples receiving integrated HIV and family planning services in Lusaka, Zambia.","AIDS (London, England)"
24088676,HIV-infected women on antiretroviral treatment have increased mortality during pregnant and postpartum periods.,"AIDS (London, England)"
24140218,Successes and challenges of establishing a cervical cancer screening and treatment program in western Kenya.,International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics
24104693,The HVTN503/Phambili HIV vaccine trial: a comparison of younger and older participants.,International journal of STD & AIDS
24090313,"The importance of caregivers in the outcome of pediatric HIV management, Mombasa, Kenya.",AIDS care
24088196,Early infant diagnosis of HIV in three regions in Tanzania; successes and challenges.,BMC public health
24086627,"Are they really lost? ""true"" status and reasons for treatment discontinuation among HIV infected patients on antiretroviral therapy considered lost to follow up in Urban Malawi.",PloS one
24080498,Pharmacogenetic associations with plasma efavirenz concentrations and clinical correlates in a retrospective cohort of Ghanaian HIV-infected patients.,The Journal of antimicrobial chemotherapy
24080478,Inadequate monitoring in advanced stages of disease with lack of supportive counseling increases attrition among patients on antiretroviral treatment at a large urban clinic in Uganda.,Journal of the International Association of Providers of AIDS Care
24079630,"HIV-associated neurocognitive disorders: antiretroviral regimen, central nervous system penetration effectiveness, and cognitive outcomes.",South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde
24076661,High attrition before and after ART initiation among youth (15-24 years of age) enrolled in HIV care.,"AIDS (London, England)"
24069604,Predictors of attrition in patients ineligible for antiretroviral therapy after being diagnosed with HIV: data from an HIV cohort study in India.,BioMed research international
24067148,Gastric outlet obstruction at Bugando Medical Centre in Northwestern Tanzania: a prospective review of 184 cases.,BMC surgery
24066099,Task-sharing of HIV care and ART initiation: evaluation of a mixed-care non-physician provider model for ART delivery in rural Malawi.,PloS one
24064441,High treatment success in children treated for multidrug-resistant tuberculosis: an observational cohort study.,Thorax
24058655,Plasma concentrations of efavirenz and nevirapine among HIV-infected patients with immunological failure attending a tertiary hospital in North-western Tanzania.,PloS one
24056068,The magnitude of loss to follow-up of HIV-exposed infants along the prevention of mother-to-child HIV transmission continuum of care: a systematic review and meta-analysis.,"AIDS (London, England)"
24053581,"HIV-1 drug resistance in recently HIV-infected pregnant mother's naive to antiretroviral therapy in Dodoma urban, Tanzania.",BMC infectious diseases
24033538,Multidrug-resistant TB in Zambia: review of national data from 2000 to 2011.,Tropical medicine & international health : TM & IH
24030113,Comparing the effectiveness of efavirenz and nevirapine for first-line antiretroviral therapy in a South African multicentre cohort.,International health
24028937,"Factors associated with attrition, mortality, and loss to follow up after antiretroviral therapy initiation: data from an HIV cohort study in India.",Global health action
24025381,Outcomes in HIV-infected adults with tuberculosis at clinics with and without co-located HIV clinics in Botswana.,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease
24015245,"Uptake, outcomes, and costs of antenatal, well-baby, and prevention of mother-to-child transmission of HIV services under routine care conditions in Zambia.",PloS one
23991055,"High-levels of acquired drug resistance in adult patients failing first-line antiretroviral therapy in a rural HIV treatment programme in KwaZulu-Natal, South Africa.",PloS one
23971125,"Hepatitis B virus in HIV-infected patients in northeastern South Africa: prevalence, exposure, protection and response to HAART.",South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde
23970647,Recurrent giant molluscum contagiosum immune reconstitution inflammatory syndrome (IRIS) after initiation of antiretroviral therapy in an HIV-infected man.,International journal of STD & AIDS
23940782,"The impact of choice of NNRTI on short-term treatment outcomes among HIV-infected patients prescribed tenofovir and lamivudine in Johannesburg, South Africa.",PloS one
23936467,Anti-tuberculosis drug resistance among new and previously treated sputum smear-positive tuberculosis patients in Uganda: results of the first national survey.,PloS one
23935858,Evolution of primary HIV drug resistance in a subtype C dominated epidemic in Mozambique.,PloS one
23924188,Short communication: Late refills during the first year of antiretroviral therapy predict mortality and program failure among HIV-infected adults in urban Zambia.,AIDS research and human retroviruses
23921620,Averted HIV infections due to expanded antiretroviral treatment eligibility offsets risk of transmitted drug resistance: a modeling study.,"AIDS (London, England)"
23921615,Bone mineral density in HIV participants randomized to raltegravir and lopinavir/ritonavir compared with standard second line therapy.,"AIDS (London, England)"
23917883,Adverse events during treatment of drug-resistant tuberculosis: a comparison between patients with or without human immunodeficiency virus co-infection.,Drug safety
23899683,High retention in care among HIV-infected patients entering care with CD4 levels >350 cells/muL under routine program conditions in Uganda.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America
23892242,Adults receiving HIV care before the start of antiretroviral therapy in sub-Saharan Africa: patient outcomes and associated risk factors.,Journal of acquired immune deficiency syndromes (1999)
23892239,HIV-HBV coinfection in Southern Africa and the effect of lamivudine- versus tenofovir-containing cART on HBV outcomes.,Journal of acquired immune deficiency syndromes (1999)
23890464,Burden of tuberculosis disease among adolescents in a rural cohort in Eastern Uganda.,BMC infectious diseases
23886019,"Understanding orphan and non-orphan adolescents' sexual risks in the context of poverty: a qualitative study in Nyanza Province, Kenya.",BMC international health and human rights
23860481,Poor early virologic performance and durability of abacavir-based first-line regimens for HIV-infected children.,The Pediatric infectious disease journal
23847702,Comparative durability of nevirapine versus efavirenz in first-line regimens during the first year of initiating antiretroviral therapy among Swaziland HIV-infected adults.,The Pan African medical journal
23842124,Long-term response to combination antiretroviral therapy in HIV-infected children in the Netherlands registered from 1996 to 2012.,"AIDS (London, England)"
23840659,"A prospective longitudinal study of the clinical outcomes from cryptococcal meningitis following treatment induction with 800 mg oral fluconazole in Blantyre, Malawi.",PloS one
23827470,Non-physician clinician provided HIV treatment results in equivalent outcomes as physician-provided care: a meta-analysis.,Journal of the International AIDS Society
23826948,'... in the project they really care for us': meaning and experiences of participating in a clinical study of first-line treatment for malaria and HIV in Tanzanian adults.,Global public health
23815862,"Changes in the burden of malaria following scale up of malaria control interventions in Mutasa District, Zimbabwe.",Malaria journal
23806135,Prevalence of drug resistance mutations and HIV type 1 subtypes in an HIV type 1-infected cohort in rural Tanzania.,AIDS research and human retroviruses
23799517,Predictors of adverse outcomes in HIV-1-infected children receiving combination antiretroviral treatment: results from a DREAM cohort in sub-Saharan Africa.,The Pediatric infectious disease journal
23797690,"Increasing rate of TAMs and etravirine resistance in HIV-1-infected adults between 12 and 24 months of treatment: the VOLTART cohort study in Cote d'Ivoire, West Africa.",Journal of acquired immune deficiency syndromes (1999)
23785113,"Impact of definitions of loss to follow-up on estimates of retention, disease progression, and mortality: application to an HIV program in Mozambique.",American journal of epidemiology
23777736,Preventing nosocomial MDR TB transmission in sub Saharan Africa: where are we at?,Global journal of health science
23768248,"Adherence to antiretroviral therapy among HIV infected children measured by caretaker report, medication return, and drug level in Dar Es Salaam, Tanzania.",BMC pediatrics
23762406,HIV drug resistance early warning indicators in Namibia for public health action.,PloS one
23756374,Reduction in early mortality on antiretroviral therapy for adults in rural South Africa since change in CD4+ cell count eligibility criteria.,Journal of acquired immune deficiency syndromes (1999)
23751421,Resistance to tenofovir-based regimens during treatment failure of subtype C HIV-1 in South Africa.,Antiviral therapy
23741382,"Molecular epidemiology, drug susceptibility and economic aspects of tuberculosis in Mubende district, Uganda.",PloS one
23735626,Cryptococcal meningitis: improving access to essential antifungal medicines in resource-poor countries.,The Lancet. Infectious diseases
23731253,Disengagement from care in a decentralised primary health care antiretroviral treatment programme: cohort study in rural South Africa.,Tropical medicine & international health : TM & IH
23727942,Treatment failure and drug resistance is more frequent in HIV-1 subtype D versus subtype A-infected Ugandans over a 10-year study period.,"AIDS (London, England)"
23717451,Rates of switching antiretroviral drugs in a primary care service in South Africa before and after introduction of tenofovir.,PloS one
23702003,Prescription patterns and drug use among pregnant women with febrile Illnesses in Uganda: a survey in out-patient clinics.,BMC infectious diseases
23687293,Resistance at virological failure using boosted protease inhibitors versus nonnucleoside reverse transcriptase inhibitors as first-line antiretroviral therapy--implications for sustained efficacy of ART in resource-limited settings.,The Journal of infectious diseases
23691224,"Comparison of tenofovir, zidovudine, or stavudine as part of first-line antiretroviral therapy in a resource-limited-setting: a cohort study.",PloS one
23675411,Diagnosis and interim treatment outcomes from the first cohort of multidrug-resistant tuberculosis patients in Tanzania.,PloS one
23639243,Early upper digestive tract side effects of zidovudine with tenofovir plus emtricitabine in West African adults with high CD4 counts.,Journal of the International AIDS Society
23632724,Association between efavirenz-based compared with nevirapine-based antiretroviral regimens and virological failure in HIV-infected children.,JAMA
23622055,Treatment outcomes for extensively drug-resistant tuberculosis and HIV co-infection.,Emerging infectious diseases
23617327,Profile of HIV type 1 coreceptor tropism among Kenyan patients from 2009 to 2010.,AIDS research and human retroviruses
23596235,Development and evaluation of an affordable real-time qualitative assay for determining HIV-1 virological failure in plasma and dried blood spots.,Journal of clinical microbiology
23587981,Protease genotypes in patients failing protease inhibitor-based antiretroviral therapy at a pediatric center in Botswana.,The Pediatric infectious disease journal
23585827,"Prevalence of HIV-1 drug resistance among women screening for HIV prevention trials in KwaZulu-Natal, South Africa (MTN-009).",PloS one
23573193,Serious treatment related adverse drug reactions amongst anti-retroviral naive MDR-TB patients.,PloS one
23551028,Short communication: high natural polymorphism in the gag gene cleavage sites of non-B HIV type 1 isolates from Gabon.,AIDS research and human retroviruses
23536405,A pragmatic approach to HIV-1 drug resistance determination in resource-limited settings by use of a novel genotyping assay targeting the reverse transcriptase-encoding region only.,Journal of clinical microbiology
23525033,HIV-infected adolescents in southern Africa can achieve good treatment outcomes: results from a retrospective cohort study.,"AIDS (London, England)"
23520489,Incident pregnancy and time to death or AIDS among HIV-positive women receiving antiretroviral therapy.,PloS one
23517497,Short communication: high rates of thymidine analogue mutations and dual-class resistance among HIV-infected Ugandan children failing first-line antiretroviral therapy.,AIDS research and human retroviruses
23514895,"Generation of lineage-related, mucosally transmissible subtype C R5 simian-human immunodeficiency viruses capable of AIDS development, induction of neurological disease, and coreceptor switching in rhesus macaques.",Journal of virology
23505529,Sustained virological response on second-line antiretroviral therapy following virological failure in HIV-infected patients in rural South Africa.,PloS one
23469035,"Monitoring of antiretroviral therapy and mortality in HIV programmes in Malawi, South Africa and Zambia: mathematical modelling study.",PloS one
23467293,"Factors associated with timely initiation of antiretroviral therapy in two HIV clinics in Lilongwe, Malawi.",International journal of STD & AIDS
23466646,Nonadherence to clinic appointments among HIV-infected children in an ambulatory care program in western Kenya.,Journal of acquired immune deficiency syndromes (1999)
23462219,Cost-effectiveness of point-of-care viral load monitoring of antiretroviral therapy in resource-limited settings: mathematical modelling study.,"AIDS (London, England)"
23457534,"Comparison of treatment outcomes of new smear-positive pulmonary tuberculosis patients by HIV and antiretroviral status in a TB/HIV clinic, Malawi.",PloS one
23457450,The potential cost and benefits of raltegravir in simplified second-line therapy among HIV infected patients in Nigeria and South Africa.,PloS one
23452547,"The effect of an anti-malarial subsidy programme on the quality of service provision of artemisinin-based combination therapy in Kenya: a cluster-randomized, controlled trial.",Malaria journal
23449270,First-line antiretroviral therapy and changes in lipid levels over 3 years among HIV-infected adults in Tanzania.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America
23442563,"Characteristics and follow-up of newly managed HIV-infected patients in the national referral center in Ouagadougou, Burkina Faso.",Journal of the International Association of Providers of AIDS Care
23437135,Retention in care of HIV-infected children from HIV test to start of antiretroviral therapy: systematic review.,PloS one
23433590,Nevirapine versus efavirenz for patients co-infected with HIV and tuberculosis: a randomised non-inferiority trial.,The Lancet. Infectious diseases
23429504,"Failure to initiate antiretroviral therapy, loss to follow-up and mortality among HIV-infected patients during the pre-ART period in Uganda.",Journal of acquired immune deficiency syndromes (1999)
23423604,Risk of tuberculosis after antiretroviral treatment initiation: a comparison between efavirenz and nevirapine using inverse probability weighting.,Antiviral therapy
23422849,"The impact of revised PMTCT guidelines: a view from a public sector ARV clinic in Cape Town, South Africa.",Journal of acquired immune deficiency syndromes (1999)
23406979,Long-term health care interruptions among HIV-positive patients in Uganda.,Journal of acquired immune deficiency syndromes (1999)
23383757,"""If I have nothing to eat, I get angry and push the pills bottle away from me"": A qualitative study of patient determinants of adherence to antiretroviral therapy in the Democratic Republic of Congo.",AIDS care
23382743,Pediatric HIV/AIDS in sub-Saharan Africa: emerging issues and way forward.,African health sciences
23374320,Diagnosing Xpert MTB/RIF negative TB: impact and cost of alternative algorithms for South Africa.,South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde
23374278,"Loss to follow-up before and after delivery among women testing HIV positive during pregnancy in Johannesburg, South Africa.",Tropical medicine & international health : TM & IH
23373540,"Treatment outcomes of HIV-infected adolescents attending public-sector HIV clinics across Gauteng and Mpumalanga, South Africa.",AIDS research and human retroviruses
23364098,"Predictors of loss to follow-up among children in the first and second years of antiretroviral treatment in Johannesburg, South Africa.",Global health action
23350862,Gender differences in mortality and CD4 count response among virally suppressed HIV-positive patients.,Journal of women's health (2002)
23341753,Toward an understanding of disengagement from HIV treatment and care in sub-Saharan Africa: a qualitative study.,PLoS medicine
23337367,Decentralization of pediatric HIV care and treatment in five sub-Saharan African countries.,Journal of acquired immune deficiency syndromes (1999)
23336728,A survey of paediatric HIV programmatic and clinical management practices in Asia and sub-Saharan Africa--the International epidemiologic Databases to Evaluate AIDS (IeDEA).,Journal of the International AIDS Society
23336700,"Barriers and facilitators to linkage to ART in primary care: a qualitative study of patients and providers in Blantyre, Malawi.",Journal of the International AIDS Society
23320567,"Gender differences in HIV disease progression and treatment outcomes among HIV patients one year after starting antiretroviral treatment (ART) in Dar es Salaam, Tanzania.",BMC public health
23315674,Early outcomes of darunavir- and/or raltegravir-based antiretroviral therapy in children with multidrug-resistant HIV at a pediatric center in Botswana.,Journal of the International Association of Providers of AIDS Care
23305169,Low-abundance resistant mutations in HIV-1 subtype C antiretroviral therapy-naive individuals as revealed by pyrosequencing.,Current HIV research
23303240,Resistance in pediatric patients experiencing virologic failure with first-line and second-line antiretroviral therapy.,The Pediatric infectious disease journal
23301015,Active tuberculosis is associated with worse clinical outcomes in HIV-infected African patients on antiretroviral therapy.,PloS one
23289497,Long-term clinical and immunologic outcomes of HIV-infected women with and without previous exposure to nevirapine.,Tropical medicine & international health : TM & IH
23285204,Antiretroviral therapy outcomes among adolescents and youth in rural Zimbabwe.,PloS one
23284728,Implementation of provider-based electronic medical records and improvement of the quality of data in a large HIV program in Sub-Saharan Africa.,PloS one
23274439,"Measuring the degree of integrated tuberculosis and HIV service delivery in Cape Town, South Africa.",Health policy and planning
23271959,Research on implementation of interventions in tuberculosis control in low- and middle-income countries: a systematic review.,PLoS medicine
23258831,Impact of timing of antiretroviral therapy initiation on survival of cervical squamous intraepithelial lesions: a cohort analysis from South Africa.,International journal of STD & AIDS
23237121,Misdiagnosis of tuberculosis in patients with lymphoma.,South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde
23237018,Factors underlying taking a child to HIV care: implications for reducing loss to follow-up among HIV-infected and -exposed children.,"SAHARA J : journal of Social Aspects of HIV/AIDS Research Alliance / SAHARA , Human Sciences Research Council"
23236959,"The social and clinical characteristics of patients on antiretroviral therapy who are 'lost to follow-up' in KwaZulu-Natal, South Africa: a prospective study.","SAHARA J : journal of Social Aspects of HIV/AIDS Research Alliance / SAHARA , Human Sciences Research Council"
23236351,Availability of volunteer-led home-based care system and baseline factors as predictors of clinical outcomes in HIV-infected patients in rural Zambia.,PloS one
23236346,Monitoring HIV viral load in resource limited settings: still a matter of debate?,PloS one
23232009,High risk of drug-resistant tuberculosis when first-line therapy fails in a high HIV prevalence setting.,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease
23232002,Loss to follow-up among infants in a study of isoniazid prophylaxis (P1041) in South Africa.,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease
23227888,HIV treatment optimism and its predictors among young adults in southern Malawi.,AIDS care
23220209,Metabolic abnormalities and body composition of HIV-infected children on Lopinavir or Nevirapine-based antiretroviral therapy.,Archives of disease in childhood
23216919,Short and long term retention in antiretroviral care in health facilities in rural Malawi and Zimbabwe.,BMC health services research
23199801,Virological failure rates and HIV-1 drug resistance patterns in patients on first-line antiretroviral treatment in semirural and rural Gabon.,Journal of the International AIDS Society
23187946,Hormonal contraceptive continuation and switching in South Africa: implications for evaluating the association of injectable hormonal contraceptive use and HIV.,Journal of acquired immune deficiency syndromes (1999)
23185450,"Evaluation of clinical and immunological markers for predicting virological failure in a HIV/AIDS treatment cohort in Busia, Kenya.",PloS one
23185373,Pediatric response to second-line antiretroviral therapy in South Africa.,PloS one
23176441,High prevalence of lipoatrophy in pre-pubertal South African children on antiretroviral therapy: a cross-sectional study.,BMC pediatrics
23169331,Frequency of stavudine substitution due to toxicity in children receiving antiretroviral treatment in sub-Saharan Africa.,"AIDS (London, England)"
23151221,Multivitamin supplementation in HIV infected adults initiating antiretroviral therapy in Uganda: the protocol for a randomized double blinded placebo controlled efficacy trial.,BMC infectious diseases
23144768,Performance of frontloading for smear microscopy in the diagnosis of pulmonary tuberculosis: a cross-sectional study at a referral hospital in Uganda.,PloS one
23143140,Emerging HIV-1 drug resistance after roll-out of antiretroviral therapy in sub-Saharan Africa.,Current opinion in HIV and AIDS
23120930,Some factors associated with non-adherence to antiretroviral therapy (ART) in people living with HIV/AIDS (PLHA) in Tanzania: a case study of Dar es Salaam region.,East African journal of public health
23115633,Outcomes of multidrug-resistant tuberculosis treatment with early initiation of antiretroviral therapy for HIV co-infected patients in Lesotho.,PloS one
23111575,"Retention of HIV-infected children on antiretroviral treatment in HIV care and treatment programs in Kenya, Mozambique, Rwanda, and Tanzania.",Journal of acquired immune deficiency syndromes (1999)
23100567,Incorporating loss to follow-up in estimates of survival among HIV-infected individuals in sub-Saharan Africa enrolled in antiretroviral therapy programs.,The Journal of infectious diseases
23087386,The clinical and economic impact of genotype testing at first-line antiretroviral therapy failure for HIV-infected patients in South Africa.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America
23077701,Switch from 200 to 350 CD4 baseline count: what it means to HIV care and treatment programs in Kenya.,The Pan African medical journal
23077473,"Treatment initiation, program attrition and patient treatment outcomes associated with scale-up and decentralization of HIV care in rural Malawi.",PloS one
23036096,"The early effects of stavudine compared with tenofovir on adipocyte gene expression, mitochondrial DNA copy number and metabolic parameters in South African HIV-infected patients: a randomized trial.",HIV medicine
23034211,Implementation of Xpert MTB/RIF for routine point-of-care diagnosis of tuberculosis at the primary care level.,South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde
23028623,Coadministration of lopinavir/ritonavir and rifampicin in HIV and tuberculosis co-infected adults in South Africa.,PloS one
26591722,"Lost to follow up and clinical outcomes of HIV adult patients on antiretroviral therapy in care and treatment centres in Tanga City, north-eastern Tanzania.",Tanzania journal of health research
26591721,"Anti-tuberculosis drug resistance pattern among pulmonary tuberculosis patients with or without HIV infection in Mwanza, Tanzania.",Tanzania journal of health research
22994151,Loss to programme between HIV diagnosis and initiation of antiretroviral therapy in sub-Saharan Africa: systematic review and meta-analysis.,Tropical medicine & international health : TM & IH
22781173,Association between older age and adverse outcomes on antiretroviral therapy: a cohort analysis of programme data from nine countries.,"AIDS (London, England)"
22987878,Variability of growth in children starting antiretroviral treatment in southern Africa.,Pediatrics
22984315,Implementing early infant diagnosis of HIV infection at the primary care level: experiences and challenges in Malawi.,Bulletin of the World Health Organization
22974414,"HIV disclosure, sexual negotiation and male involvement in prevention-of-mother-to-child-transmission in South Africa.","Culture, health & sexuality"
22973181,Gender differences in survival among adult patients starting antiretroviral therapy in South Africa: a multicentre cohort study.,PLoS medicine
22971113,"Cost analyses of peer health worker and mHealth support interventions for improving AIDS care in Rakai, Uganda.",AIDS care
22963527,"A retrospective study of Human Immunodeficiency Virus transmission, mortality and loss to follow-up among infants in the first 18 months of life in a prevention of mother-to-child transmission programme in an urban hospital in KwaZulu-Natal, South Africa.",BMC pediatrics
22958703,Recall of lost-to-follow-up pre-antiretroviral therapy patients in the Eastern Cape: effect of mentoring on patient care.,South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde
22957012,"Universal access to HIV treatment versus universal 'test and treat': transmission, drug resistance & treatment costs.",PloS one
22944873,The immune reconstitution inflammatory syndrome after antiretroviral therapy initiation in patients with tuberculosis: findings from the SAPiT trial.,Annals of internal medicine
22943164,Early loss to follow-up of recently diagnosed HIV-infected adults from routine pre-ART care in a rural district hospital in Kenya: a cohort study.,Tropical medicine & international health : TM & IH
22943068,Cost-effectiveness of early initiation of first-line combination antiretroviral therapy in Uganda.,BMC public health
22912845,"Drug-resistant tuberculosis among HIV-infected patients starting antiretroviral therapy in Durban, South Africa.",PloS one
22912668,Performance of the PointCare NOW system for CD4 counting in HIV patients based on five independent evaluations.,PloS one
22905359,"Managing HIV-infected children in a low-resource, public clinic: a comparison of nurse vs. clinical officer practices in ART refill, calculation of adherence and subsequent appointments.",Journal of the International AIDS Society
22905175,Cost-effectiveness of tenofovir instead of zidovudine for use in first-line antiretroviral therapy in settings without virological monitoring.,PloS one
22903740,Early diagnosis and treatment of ankylosing spondylitis in Africa and the Middle East.,Clinical rheumatology
22891234,"Mortality and clinical outcomes in HIV-infected children on antiretroviral therapy in Malawi, Lesotho, and Swaziland.",Pediatrics
22863182,Mortality and loss to follow-up among tuberculosis and HIV co-infected patients in rural southwestern Uganda.,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease
22860571,High rate of antiretroviral drug resistance mutations in HIV type 1-infected Senegalese children in virological failure on first-line treatment according to the World Health Organization guidelines.,AIDS research and human retroviruses
